Relationship_ID,Project_ID,Predecessor_Activity_ID,Successor_Activity_ID,Relationship_Type,Lag_Days,Relationship_Scope,Recovery_Status
R0319,P08,P08-A21,P08-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0320,P08,P08-A22,P08-A23,FS,0,Within Project,Reconstructed from approved narrative/logic
R0321,P08,P08-A21,P08-A23,FF,0,Within Project,Reconstructed from approved narrative/logic
R0322,P08,P08-A23,P08-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0323,P08,P08-M1,P08-I-P08-01,FS,0,Within Project,Reconstructed from approved narrative/logic
R0324,P08,P08-A8,P08-I-P08-02,FS,0,Within Project,Reconstructed from approved narrative/logic
R0325,P08,P08-MSTART,P08-I-P08-03,FS,0,Within Project,Reconstructed from approved narrative/logic
R0326,P09,P09-A1,P09-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0327,P09,P09-A2,P09-A3a,FS,0,Within Project,Reconstructed from approved narrative/logic
R0328,P09,P09-A3a,P09-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0329,P09,P09-A3,P09-A4,FS,5,Within Project,Reconstructed from approved narrative/logic
R0330,P09,P09-A4,P09-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0331,P09,P09-A4,P09-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0332,P09,P09-A4,P09-A4c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0333,P09,P09-A4,P09-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0334,P09,P09-A5,P09-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0335,P09,P09-A5b,P09-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0336,P09,P09-A4c,P09-MPERMIT,FS,0,Within Project,Reconstructed from approved narrative/logic
R0337,P09,P09-A5c,P09-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0338,P09,P09-A4b,P09-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0339,P09,P09-A4c,P09-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0340,P09,P09-M2,P09-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0341,P09,P09-M2,P09-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0342,P09,P09-M2,P09-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0343,P09,P09-M2,P09-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0344,P09,P09-A6,P09-MSPECMOB,FS,0,Within Project,Reconstructed from approved narrative/logic
R0345,P09,P09-A10,P09-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0346,P09,P09-A11,P09-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0347,P09,P09-A6,P09-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0348,P09,P09-A7,P09-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0349,P09,P09-A13,P09-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0350,P09,P09-A12,P09-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0351,P09,P09-A14,P09-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0352,P09,P09-A15,P09-MCROSSDONE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0353,P09,P09-A15,P09-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0354,P09,P09-A15,P09-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0355,P09,P09-A8,P09-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0356,P09,P09-A16,P09-A18,FS,5,Within Project,Reconstructed from approved narrative/logic
R0357,P09,P09-A17,P09-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0358,P09,P09-A9,P09-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0359,P09,P09-A18,P09-A19,FS,0,Within Project,Reconstructed from approved narrative/logic
R0360,P09,P09-A19,P09-MINSERVICE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0361,P09,P09-A19,P09-A20,FS,0,Within Project,Reconstructed from approved narrative/logic
R0362,P09,P09-A20,P09-A21,FS,0,Within Project,Reconstructed from approved narrative/logic
R0363,P09,P09-A21,P09-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0364,P09,P09-A21,P09-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0365,P09,P09-A22,P09-A23,FS,0,Within Project,Reconstructed from approved narrative/logic
R0366,P09,P09-A21,P09-A23,FF,0,Within Project,Reconstructed from approved narrative/logic
R0367,P09,P09-A23,P09-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0368,P10,P10-A1,P10-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0369,P10,P10-A2,P10-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0370,P10,P10-A3,P10-A4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0371,P10,P10-A4,P10-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0372,P10,P10-A4,P10-A6b,SS,10,Within Project,Reconstructed from approved narrative/logic
R0373,P10,P10-A5,P10-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0374,P10,P10-A6b,P10-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0375,P10,P10-A6,P10-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0376,P10,P10-A6,P10-A7,SS,10,Within Project,Reconstructed from approved narrative/logic
R0377,P10,P10-A7,P10-A7b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0378,P10,P10-A7b,P10-A7c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0379,P10,P10-A7c,P10-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0380,P10,P10-M2,P10-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0381,P10,P10-M2,P10-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0382,P10,P10-M2,P10-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0383,P10,P10-M2,P10-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0384,P10,P10-M2,P10-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0385,P10,P10-A9,P10-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0386,P10,P10-A10,P10-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0387,P10,P10-A12,P10-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0388,P10,P10-A14,P10-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0389,P10,P10-A15,P10-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0390,P10,P10-A13,P10-MFAT,FS,0,Within Project,Reconstructed from approved narrative/logic
R0391,P10,P10-A13,P10-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0392,P10,P10-A8,P10-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0393,P10,P10-A16,P10-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0394,P10,P10-A17,P10-MSITEINSTALL,FS,0,Within Project,Reconstructed from approved narrative/logic
R0395,P10,P10-A17,P10-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0396,P10,P10-A18,P10-A19,FS,0,Within Project,Reconstructed from approved narrative/logic
R0397,P10,P10-A18,P10-MIOCHECK,FS,0,Within Project,Reconstructed from approved narrative/logic
R0398,P03→P10,P03-I-P03-02,P10-P10-IF-01,FS,0,Inter-Project,Reconstructed from approved narrative/logic
R0399,P08→P10,P08-I-P08-02,P10-P10-IF-01,FS,0,Inter-Project,Reconstructed from approved narrative/logic
R0400,P10,P10-M1,P10-P10-IF-01,FS,0,Within Project,Reconstructed from approved narrative/logic
R0406,P03→P10,P03-I-P03-03,P10-P10-MIF03,FS,0,Inter-Project,Reconstructed from approved narrative/logic
R0407,P08→P10,P08-I-P08-03,P10-P10-MIF03,FS,0,Inter-Project,Reconstructed from approved narrative/logic
R0408,P10,P10-MSITEINSTALL,P10-P10-MIF03,FS,0,Within Project,Reconstructed from approved narrative/logic
R0409,P10,P10-MIOCHECK,P10-P10-MIF03,FS,0,Within Project,Reconstructed from approved narrative/logic
R0410,P10,P10-A19,P10-P10-MIF03,FS,0,Within Project,Reconstructed from approved narrative/logic
R0412,P10,P10-A20,P10-A21,FS,0,Within Project,Reconstructed from approved narrative/logic
R0413,P10,P10-A21,P10-MSAT,FS,0,Within Project,Reconstructed from approved narrative/logic
R0414,P10,P10-A21,P10-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0415,P10,P10-A21,P10-A23,FS,0,Within Project,Reconstructed from approved narrative/logic
R0416,P10,P10-A22,P10-A24,FS,0,Within Project,Reconstructed from approved narrative/logic
R0417,P10,P10-A23,P10-A24,FS,0,Within Project,Reconstructed from approved narrative/logic
R0418,P10,P10-A24,P10-A25,FS,0,Within Project,Reconstructed from approved narrative/logic
R0419,P10,P10-A24,P10-MCUTOVER,FS,0,Within Project,Reconstructed from approved narrative/logic
R0420,P10,P10-A25,P10-MOPACC,FS,0,Within Project,Reconstructed from approved narrative/logic
R0421,P10,P10-A25,P10-A27,FS,0,Within Project,Reconstructed from approved narrative/logic
R0422,P10,P10-A25,P10-A26,FS,0,Within Project,Reconstructed from approved narrative/logic
R0423,P10,P10-A27,P10-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0424,P10,P10-A26,P10-A28,FS,0,Within Project,Reconstructed from approved narrative/logic
R0425,P10,P10-A27,P10-A28,FF,0,Within Project,Reconstructed from approved narrative/logic
R0426,P10,P10-A28,P10-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0427,P11,P11-A1,P11-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0428,P11,P11-A2,P11-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0429,P11,P11-A3,P11-A4,FS,5,Within Project,Reconstructed from approved narrative/logic
R0430,P11,P11-A4,P11-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0431,P11,P11-A4,P11-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0432,P11,P11-A5,P11-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0433,P11,P11-A5b,P11-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0434,P11,P11-A5c,P11-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0435,P11,P11-M2,P11-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0436,P11,P11-M2,P11-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0437,P11,P11-M2,P11-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0438,P11,P11-M2,P11-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0439,P11,P11-M2,P11-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0440,P11,P11-A6,P11-B1inst,FS,0,Within Project,Reconstructed from approved narrative/logic
R0441,P11,P11-A7,P11-B1inst,FS,0,Within Project,Reconstructed from approved narrative/logic
R0442,P11,P11-A8,P11-B1inst,FS,0,Within Project,Reconstructed from approved narrative/logic
R0443,P11,P11-A9,P11-B1inst,FS,0,Within Project,Reconstructed from approved narrative/logic
R0444,P11,P11-A10,P11-B1inst,FS,0,Within Project,Reconstructed from approved narrative/logic
R0445,P11,P11-B1inst,P11-B2inst,SS,25,Within Project,Reconstructed from approved narrative/logic
R0446,P11,P11-B1inst,P11-AFIRST,SS,0,Within Project,Reconstructed from approved narrative/logic
R0447,P11,P11-AFIRST,P11-MFIRST,FS,0,Within Project,Reconstructed from approved narrative/logic
R0448,P11,P11-B1inst,P11-MBATCH1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0449,P11,P11-B2inst,P11-MTARGET,FS,0,Within Project,Reconstructed from approved narrative/logic
R0450,P11,P11-B1inst,P11-B1test,FS,0,Within Project,Reconstructed from approved narrative/logic
R0451,P11,P11-B1test,P11-B1rest,FS,0,Within Project,Reconstructed from approved narrative/logic
R0452,P11,P11-B1rest,P11-B1gis,FS,0,Within Project,Reconstructed from approved narrative/logic
R0453,P11,P11-B2inst,P11-B2test,FS,0,Within Project,Reconstructed from approved narrative/logic
R0454,P11,P11-B2test,P11-B2rest,FS,0,Within Project,Reconstructed from approved narrative/logic
R0455,P11,P11-B2rest,P11-B2gis,FS,0,Within Project,Reconstructed from approved narrative/logic
R0456,P11,P11-B1gis,P11-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0457,P11,P11-B2gis,P11-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0458,P11,P11-A11,P11-MISOVERIFY,FS,0,Within Project,Reconstructed from approved narrative/logic
R0459,P11,P11-A11,P11-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0460,P11,P11-A11,P11-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0461,P11,P11-A12,P11-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0462,P11,P11-A13,P11-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0463,P12,P12-Y1A1,P12-Y1A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0464,P12,P12-Y1A2,P12-Y1A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0465,P12,P12-Y1A3,P12-Y1A4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0466,P12,P12-Y1A4,P12-Y1A5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0467,P12,P12-Y1A5,P12-Y1A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0468,P12,P12-Y1A6,P12-Y1A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0469,P12,P12-Y1A7,P12-Y1A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0470,P12,P12-Y1A1,P12-MPLANY1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0471,P12,P12-Y1A6,P12-MY1DONE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0472,P12,P12-Y1A8,P12-Y2A1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0473,P12,P12-Y2A1,P12-Y2A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0474,P12,P12-Y2A2,P12-Y2A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0475,P12,P12-Y2A3,P12-Y2A4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0476,P12,P12-Y2A4,P12-Y2A5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0477,P12,P12-Y2A5,P12-Y2A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0478,P12,P12-Y2A6,P12-Y2A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0479,P12,P12-Y2A7,P12-Y2A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0480,P12,P12-Y2A1,P12-MPLANY2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0481,P12,P12-Y2A6,P12-MY2DONE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0482,P12,P12-Y2A8,P12-Y3A1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0483,P12,P12-Y3A1,P12-Y3A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0484,P12,P12-Y3A2,P12-Y3A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0485,P12,P12-Y3A3,P12-Y3A4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0486,P12,P12-Y3A4,P12-Y3A5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0487,P12,P12-Y3A5,P12-Y3A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0488,P12,P12-Y3A6,P12-Y3A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0489,P12,P12-Y3A7,P12-Y3A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0490,P12,P12-Y3A1,P12-MPLANY3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0491,P12,P12-Y3A6,P12-MY3DONE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0492,P12,P12-Y3A8,P12-MPROGCLOSE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0493,P01,P01-A4,P01-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0494,P01,P01-A5b,P01-M2,FS,10,Within Project,Reconstructed from approved narrative/logic
R0495,P01,P01-A4b,P01-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0496,P01,P01-A15,P01-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0497,P02,P02-A4,P02-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0498,P02,P02-A5b,P02-M2,FS,10,Within Project,Reconstructed from approved narrative/logic
R0499,P02,P02-A4b,P02-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0500,P02,P02-A8,P02-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0501,P02,P02-A15b,P02-M4_SUB,FS,0,Within Project,Reconstructed from approved narrative/logic
R0502,P06,P06-MSYSINT,P06-MPILOTREADY,FS,0,Within Project,Reconstructed from approved narrative/logic
R0503,P06,P06-A15,P06-MPILOTREADY,FS,0,Within Project,Reconstructed from approved narrative/logic
R0504,P06,P06-APILOTSTAGE,P06-MPILOTREADY,FS,0,Within Project,Reconstructed from approved narrative/logic
R0505,P06,P06-A8,P06-MPILOTREADY,FS,0,Within Project,Reconstructed from approved narrative/logic
R0506,P06,P06-A6,P06-MPILOTREADY,FS,0,Within Project,Reconstructed from approved narrative/logic
R0507,P06,P06-MPILOTREADY,P06-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0508,P06,P06-AFIRSTPILOT,P06-MFIRSTPILOT,FS,0,Within Project,Reconstructed from approved narrative/logic
